model,proposal_state,metric,n_tasks,action_aware_broad_rate,evidence_gate_rate,effect,ci_low,ci_high,broad_wrong_gate_correct,broad_correct_gate_wrong
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,protected_oracle_match,48,0.1875,0.1875,0.0,0.0,0.0,0,0
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,constraint_followed,48,0.9791666666666666,0.9791666666666666,0.0,0.0,0.0,0,0
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,protected_oracle_match,48,0.625,0.0,-0.625,-0.7505208333333329,-0.4791666666666667,0,30
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,constraint_followed,48,0.8958333333333334,1.0,0.10416666666666667,0.020833333333333332,0.1875,5,0
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,protected_oracle_match,48,0.0,1.0,1.0,1.0,1.0,48,0
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,constraint_followed,48,0.9375,1.0,0.0625,0.0,0.14583333333333334,3,0
mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,protected_oracle_match,48,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0,0
mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,constraint_followed,48,0.5625,0.5625,0.0,0.0,0.0,0,0
mlx-community/Qwen3-8B-4bit,compliant_suboptimal,protected_oracle_match,48,0.0,0.0,0.0,0.0,0.0,0,0
mlx-community/Qwen3-8B-4bit,compliant_suboptimal,constraint_followed,48,1.0,1.0,0.0,0.0,0.0,0,0
mlx-community/Qwen3-8B-4bit,oracle_correct,protected_oracle_match,48,1.0,1.0,0.0,0.0,0.0,0,0
mlx-community/Qwen3-8B-4bit,oracle_correct,constraint_followed,48,1.0,1.0,0.0,0.0,0.0,0,0
