model,proposal_state,institution,n,exact_rate,compliance_rate,override_rate
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,action_aware_broad,48,0.1875,0.9791666666666666,1.0
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,evidence_gate,48,0.1875,0.9791666666666666,0.9791666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,action_aware_broad,48,0.625,0.8958333333333334,0.7708333333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,evidence_gate,48,0.0,1.0,0.0
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,action_aware_broad,48,0.0,0.9375,1.0
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,evidence_gate,48,1.0,1.0,0.0
mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,action_aware_broad,48,0.020833333333333332,0.5625,0.6041666666666666
mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,evidence_gate,48,0.020833333333333332,0.5625,0.5625
mlx-community/Qwen3-8B-4bit,compliant_suboptimal,action_aware_broad,48,0.0,1.0,0.0
mlx-community/Qwen3-8B-4bit,compliant_suboptimal,evidence_gate,48,0.0,1.0,0.0
mlx-community/Qwen3-8B-4bit,oracle_correct,action_aware_broad,48,1.0,1.0,0.0
mlx-community/Qwen3-8B-4bit,oracle_correct,evidence_gate,48,1.0,1.0,0.0
