scope,institution,proposal_state,metric,n,protected_only_rate,dual_objective_rate,dual_minus_protected
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,broad_override,all,protected_oracle_match,288,0.08333333333333333,0.11805555555555555,0.034722222222222224
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,broad_override,all,constraint_followed,288,0.9895833333333334,0.9444444444444444,-0.04513888888888889
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,broad_override,oracle_correct,protected_oracle_match,96,0.11458333333333333,0.22916666666666666,0.11458333333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,broad_override,oracle_correct,constraint_followed,96,0.9791666666666666,0.9895833333333334,0.010416666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,broad_override,aggregate_pressure_violation,protected_oracle_match,96,0.07291666666666667,0.041666666666666664,-0.03125
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,broad_override,aggregate_pressure_violation,constraint_followed,96,1.0,0.8541666666666666,-0.14583333333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,broad_override,compliant_suboptimal,protected_oracle_match,96,0.0625,0.08333333333333333,0.020833333333333332
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,broad_override,compliant_suboptimal,constraint_followed,96,0.9895833333333334,0.9895833333333334,0.0
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,certificate_gate,all,protected_oracle_match,288,0.3576388888888889,0.3472222222222222,-0.010416666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,certificate_gate,all,constraint_followed,288,1.0,0.9513888888888888,-0.04861111111111111
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,certificate_gate,oracle_correct,protected_oracle_match,96,1.0,1.0,0.0
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,certificate_gate,oracle_correct,constraint_followed,96,1.0,1.0,0.0
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,certificate_gate,aggregate_pressure_violation,protected_oracle_match,96,0.07291666666666667,0.041666666666666664,-0.03125
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,certificate_gate,aggregate_pressure_violation,constraint_followed,96,1.0,0.8541666666666666,-0.14583333333333334
