scope,metric,violation_prevalence,expected_gate_minus_broad
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.0,0.020833333333333332
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.01,0.020624999999999998
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.02,0.020416666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.03,0.02020833333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.04,0.019999999999999997
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.05,0.019791666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.06,0.01958333333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.07,0.019374999999999996
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.08,0.019166666666666665
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.09,0.018958333333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.1,0.01875
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.11,0.018541666666666665
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.12,0.018333333333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.13,0.018125
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.14,0.017916666666666664
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.15,0.017708333333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.16,0.017499999999999998
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.17,0.017291666666666664
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.18,0.017083333333333332
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.19,0.016875
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.2,0.016666666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.21,0.016458333333333332
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.22,0.01625
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.23,0.016041666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.24,0.01583333333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.25,0.015625
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.26,0.015416666666666665
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.27,0.015208333333333332
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.28,0.015
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.29,0.014791666666666665
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.3,0.014583333333333332
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.31,0.014374999999999999
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.32,0.014166666666666664
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.33,0.013958333333333331
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.34,0.013749999999999998
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.35000000000000003,0.013541666666666664
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.36,0.013333333333333332
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.37,0.013125
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.38,0.012916666666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.39,0.012708333333333332
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.4,0.012499999999999999
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.41000000000000003,0.012291666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.42,0.012083333333333335
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.43,0.011875
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.44,0.011666666666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.45,0.011458333333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.46,0.01125
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.47000000000000003,0.011041666666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.48,0.010833333333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.49,0.010624999999999999
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.5,0.010416666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.51,0.010208333333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.52,0.009999999999999998
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.53,0.009791666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.54,0.009583333333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.55,0.009374999999999998
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.56,0.009166666666666665
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.5700000000000001,0.008958333333333332
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.58,0.00875
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.59,0.008541666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.6,0.008333333333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.61,0.008125
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.62,0.007916666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.63,0.007708333333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.64,0.0075
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.65,0.007291666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.66,0.007083333333333332
