scope,scenario,proposal_state,n,count,rate,ci_low,ci_high
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,all,compliant_suboptimal,96,89,0.9270833333333334,0.8570696833485983,0.9642324186896375
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,all,oracle_correct,96,4,0.041666666666666664,0.01632070753628833,0.10228191466658104
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,all,protected_violation,96,3,0.03125,0.010684070371201164,0.0878867932453698
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,fragmented,compliant_suboptimal,32,31,0.96875,0.8425573617998744,0.9944621398359969
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,fragmented,oracle_correct,32,1,0.03125,0.005537860164003122,0.15744263820012558
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,fragmented,protected_violation,32,0,0.0,0.0,0.1071791982550706
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,intense_minority,compliant_suboptimal,32,31,0.96875,0.8425573617998744,0.9944621398359969
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,intense_minority,oracle_correct,32,1,0.03125,0.005537860164003122,0.15744263820012558
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,intense_minority,protected_violation,32,0,0.0,0.0,0.1071791982550706
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,polarized,compliant_suboptimal,32,27,0.84375,0.682458504024696,0.9313557971749429
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,polarized,oracle_correct,32,2,0.0625,0.017310567031640967,0.2014712314415458
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,polarized,protected_violation,32,3,0.09375,0.032401551298366194,0.24218154728387864
mlx-community/Qwen3-8B-4bit,all,compliant_suboptimal,96,74,0.7708333333333334,0.6773148946997619,0.8435108285439975
mlx-community/Qwen3-8B-4bit,all,oracle_correct,96,8,0.08333333333333333,0.04283062415096722,0.15589903239709585
mlx-community/Qwen3-8B-4bit,all,protected_violation,96,14,0.14583333333333334,0.08890205780138637,0.23001815026446726
mlx-community/Qwen3-8B-4bit,fragmented,compliant_suboptimal,32,25,0.78125,0.6124500635075647,0.8897616374739581
mlx-community/Qwen3-8B-4bit,fragmented,oracle_correct,32,4,0.125,0.04970134387480073,0.2806830548165022
mlx-community/Qwen3-8B-4bit,fragmented,protected_violation,32,3,0.09375,0.032401551298366194,0.24218154728387864
mlx-community/Qwen3-8B-4bit,intense_minority,compliant_suboptimal,32,29,0.90625,0.7578184527161212,0.9675984487016337
mlx-community/Qwen3-8B-4bit,intense_minority,oracle_correct,32,3,0.09375,0.032401551298366194,0.24218154728387864
mlx-community/Qwen3-8B-4bit,intense_minority,protected_violation,32,0,0.0,0.0,0.1071791982550706
mlx-community/Qwen3-8B-4bit,polarized,compliant_suboptimal,32,20,0.625,0.4525440735307745,0.7706611269054578
mlx-community/Qwen3-8B-4bit,polarized,oracle_correct,32,1,0.03125,0.005537860164003122,0.15744263820012558
mlx-community/Qwen3-8B-4bit,polarized,protected_violation,32,11,0.34375,0.20410437924433172,0.5168891202103778
pooled_models,all,compliant_suboptimal,192,163,0.8489583333333334,0.7914966218282098,0.8927303074793682
pooled_models,all,oracle_correct,192,12,0.0625,0.03611064877145607,0.1060526040369538
pooled_models,all,protected_violation,192,17,0.08854166666666667,0.05601543330346269,0.13720953064730373
pooled_models,fragmented,compliant_suboptimal,64,56,0.875,0.7722543817887005,0.9352775733666955
pooled_models,fragmented,oracle_correct,64,5,0.078125,0.03383117690855046,0.17019537354162906
pooled_models,fragmented,protected_violation,64,3,0.046875,0.016069016786292974,0.12899653740093686
pooled_models,intense_minority,compliant_suboptimal,64,60,0.9375,0.8500251490779133,0.9754287986033819
pooled_models,intense_minority,oracle_correct,64,4,0.0625,0.024571201396618017,0.14997485092208662
pooled_models,intense_minority,protected_violation,64,0,0.0,0.0,0.05662405979280534
pooled_models,polarized,compliant_suboptimal,64,47,0.734375,0.6151712627143486,0.8270362092577739
pooled_models,polarized,oracle_correct,64,3,0.046875,0.016069016786292974,0.12899653740093686
pooled_models,polarized,protected_violation,64,14,0.21875,0.13502319406719474,0.3343278395662582
