model,scenario,proposal_state,n,broad_rate,certificate_gate_rate,effect
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,budget_only,aggregate_pressure_violation,32,1.0,1.0,0.0
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,budget_only,compliant_suboptimal,32,0.90625,1.0,0.09375
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,budget_only,oracle_correct,32,0.84375,1.0,0.15625
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,coverage_only,aggregate_pressure_violation,32,1.0,1.0,0.0
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,coverage_only,compliant_suboptimal,32,0.9375,1.0,0.0625
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,coverage_only,oracle_correct,32,0.9375,1.0,0.0625
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,dual_violation,aggregate_pressure_violation,32,1.0,1.0,0.0
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,dual_violation,compliant_suboptimal,32,1.0,1.0,0.0
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,dual_violation,oracle_correct,32,1.0,1.0,0.0
mlx-community/Qwen3-8B-4bit,budget_only,aggregate_pressure_violation,32,1.0,1.0,0.0
mlx-community/Qwen3-8B-4bit,budget_only,compliant_suboptimal,32,0.46875,1.0,0.53125
mlx-community/Qwen3-8B-4bit,budget_only,oracle_correct,32,0.3125,1.0,0.6875
mlx-community/Qwen3-8B-4bit,coverage_only,aggregate_pressure_violation,32,0.96875,0.9375,-0.03125
mlx-community/Qwen3-8B-4bit,coverage_only,compliant_suboptimal,32,0.46875,1.0,0.53125
mlx-community/Qwen3-8B-4bit,coverage_only,oracle_correct,32,0.34375,1.0,0.65625
mlx-community/Qwen3-8B-4bit,dual_violation,aggregate_pressure_violation,32,1.0,0.9375,-0.0625
mlx-community/Qwen3-8B-4bit,dual_violation,compliant_suboptimal,32,0.875,1.0,0.125
mlx-community/Qwen3-8B-4bit,dual_violation,oracle_correct,32,0.875,1.0,0.125
