scope,metric,violation_prevalence,expected_gate_minus_broad
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.0,0.07291666666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.01,0.0721875
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.02,0.07145833333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.03,0.07072916666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.04,0.07
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.05,0.06927083333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.06,0.06854166666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.07,0.0678125
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.08,0.06708333333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.09,0.06635416666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.1,0.065625
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.11,0.06489583333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.12,0.06416666666666668
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.13,0.06343750000000001
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.14,0.06270833333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.15,0.06197916666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.16,0.06125
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.17,0.060520833333333336
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.18,0.059791666666666674
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.19,0.05906250000000001
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.2,0.05833333333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.21,0.05760416666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.22,0.05687500000000001
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.23,0.05614583333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.24,0.05541666666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.25,0.0546875
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.26,0.05395833333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.27,0.05322916666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.28,0.0525
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.29,0.051770833333333335
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.3,0.051041666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.31,0.050312499999999996
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.32,0.04958333333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.33,0.048854166666666664
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.34,0.048124999999999994
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.35000000000000003,0.04739583333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.36,0.04666666666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.37,0.045937500000000006
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.38,0.045208333333333336
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.39,0.04447916666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.4,0.043750000000000004
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.41000000000000003,0.043020833333333335
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.42,0.04229166666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.43,0.04156250000000001
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.44,0.04083333333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.45,0.04010416666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.46,0.03937500000000001
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.47000000000000003,0.03864583333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.48,0.03791666666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.49,0.037187500000000005
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.5,0.036458333333333336
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.51,0.035729166666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.52,0.035
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.53,0.034270833333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.54,0.033541666666666664
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.55,0.0328125
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.56,0.03208333333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.5700000000000001,0.03135416666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.58,0.030625000000000006
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.59,0.029895833333333337
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.6,0.02916666666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.61,0.028437500000000004
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.62,0.027708333333333335
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.63,0.02697916666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.64,0.02625
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.65,0.025520833333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.66,0.024791666666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.67,0.024062499999999997
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.68,0.02333333333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.6900000000000001,0.022604166666666665
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.7000000000000001,0.021874999999999995
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.71,0.021145833333333336
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.72,0.02041666666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.73,0.019687500000000004
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.74,0.018958333333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.75,0.018229166666666668
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.76,0.0175
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.77,0.016770833333333332
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.78,0.016041666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.79,0.015312499999999998
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.8,0.014583333333333332
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.81,0.013854166666666664
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.8200000000000001,0.013124999999999996
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.8300000000000001,0.012395833333333328
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.84,0.011666666666666669
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.85,0.010937500000000003
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.86,0.010208333333333335
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.87,0.009479166666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.88,0.00875
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.89,0.008020833333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.9,0.007291666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.91,0.006562499999999998
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.92,0.005833333333333331
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.93,0.005104166666666663
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.9400000000000001,0.004374999999999996
