task_id,scenario,seed,model,proposal_state,proposal_choice,protected_oracle_choice,response_valid,format_normalized,certificate_fields_valid,valid_repair_certificate,recommended_policy_id,error
portfolio-budget_only-120000,budget_only,120000,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,plan_G,plan_G,True,True,True,False,plan_G,
portfolio-budget_only-120000,budget_only,120000,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,plan_D,plan_G,True,True,True,True,plan_G,
portfolio-budget_only-120000,budget_only,120000,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,plan_F,plan_G,True,True,True,False,plan_G,
portfolio-budget_only-120001,budget_only,120001,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,plan_C,plan_C,True,True,True,False,plan_E,
portfolio-budget_only-120001,budget_only,120001,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,plan_E,plan_C,True,True,True,True,plan_F,
portfolio-budget_only-120001,budget_only,120001,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,plan_F,plan_C,True,True,True,False,plan_E,
portfolio-budget_only-120002,budget_only,120002,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,plan_E,plan_E,True,True,True,False,plan_E,
portfolio-budget_only-120002,budget_only,120002,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,plan_D,plan_E,True,True,True,True,plan_E,
portfolio-budget_only-120002,budget_only,120002,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,plan_F,plan_E,True,True,True,False,plan_E,
portfolio-budget_only-120003,budget_only,120003,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,plan_B,plan_B,True,True,True,False,plan_C,
portfolio-budget_only-120003,budget_only,120003,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,plan_C,plan_B,True,True,True,True,plan_B,
portfolio-budget_only-120003,budget_only,120003,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,plan_G,plan_B,True,True,True,False,plan_B,
portfolio-budget_only-120004,budget_only,120004,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,plan_A,plan_A,True,True,True,False,plan_A,
portfolio-budget_only-120004,budget_only,120004,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,plan_B,plan_A,True,True,True,True,plan_A,
portfolio-budget_only-120004,budget_only,120004,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,plan_F,plan_A,True,True,False,False,plan_A,
portfolio-budget_only-120005,budget_only,120005,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,plan_E,plan_E,True,True,True,False,plan_E,
portfolio-budget_only-120005,budget_only,120005,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,plan_A,plan_E,True,True,True,True,plan_E,
portfolio-budget_only-120005,budget_only,120005,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,plan_G,plan_E,True,True,True,False,plan_E,
portfolio-budget_only-120006,budget_only,120006,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,plan_G,plan_G,True,True,True,False,plan_A,
portfolio-budget_only-120006,budget_only,120006,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,plan_C,plan_G,True,True,True,True,plan_A,
portfolio-budget_only-120006,budget_only,120006,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,plan_A,plan_G,True,True,True,False,plan_C,
portfolio-budget_only-120007,budget_only,120007,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,plan_C,plan_C,True,True,True,False,plan_C,
portfolio-budget_only-120007,budget_only,120007,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,plan_B,plan_C,True,True,True,True,plan_C,
portfolio-budget_only-120007,budget_only,120007,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,plan_F,plan_C,True,True,True,False,plan_C,
portfolio-budget_only-120008,budget_only,120008,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,plan_C,plan_C,True,True,True,False,plan_C,
portfolio-budget_only-120008,budget_only,120008,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,plan_F,plan_C,True,True,True,True,plan_C,
portfolio-budget_only-120008,budget_only,120008,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,plan_E,plan_C,True,True,True,False,plan_C,
portfolio-budget_only-120009,budget_only,120009,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,plan_C,plan_C,True,True,True,False,plan_C,
portfolio-budget_only-120009,budget_only,120009,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,plan_B,plan_C,True,True,True,True,plan_C,
portfolio-budget_only-120009,budget_only,120009,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,plan_G,plan_C,True,True,True,False,plan_C,
portfolio-budget_only-120010,budget_only,120010,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,plan_E,plan_E,True,True,True,False,plan_E,
portfolio-budget_only-120010,budget_only,120010,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,plan_A,plan_E,True,True,True,True,plan_E,
portfolio-budget_only-120010,budget_only,120010,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,plan_D,plan_E,True,True,True,False,plan_E,
portfolio-budget_only-120011,budget_only,120011,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,plan_C,plan_C,True,True,True,False,plan_C,
portfolio-budget_only-120011,budget_only,120011,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,plan_A,plan_C,True,True,True,True,plan_B,
portfolio-budget_only-120011,budget_only,120011,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,plan_B,plan_C,True,True,True,False,plan_C,
portfolio-budget_only-120012,budget_only,120012,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,plan_C,plan_C,True,True,True,False,plan_D,
portfolio-budget_only-120012,budget_only,120012,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,plan_D,plan_C,True,True,True,True,plan_C,
portfolio-budget_only-120012,budget_only,120012,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,plan_E,plan_C,True,True,True,False,plan_C,
portfolio-budget_only-120013,budget_only,120013,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,plan_F,plan_F,True,True,True,False,plan_A,
portfolio-budget_only-120013,budget_only,120013,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,plan_C,plan_F,True,True,True,True,plan_A,
portfolio-budget_only-120013,budget_only,120013,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,plan_A,plan_F,True,True,True,False,plan_C,
portfolio-budget_only-120014,budget_only,120014,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,plan_E,plan_E,True,True,True,False,plan_F,
portfolio-budget_only-120014,budget_only,120014,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,plan_F,plan_E,True,True,True,True,plan_E,
portfolio-budget_only-120014,budget_only,120014,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,plan_C,plan_E,True,True,True,False,plan_E,
portfolio-budget_only-120015,budget_only,120015,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,plan_E,plan_E,True,True,True,False,plan_C,
portfolio-budget_only-120015,budget_only,120015,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,plan_G,plan_E,True,True,True,True,plan_E,
portfolio-budget_only-120015,budget_only,120015,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,plan_C,plan_E,True,True,True,False,plan_C,
portfolio-budget_only-120016,budget_only,120016,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,plan_B,plan_B,True,True,True,False,plan_B,
portfolio-budget_only-120016,budget_only,120016,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,plan_E,plan_B,True,True,True,True,plan_B,
portfolio-budget_only-120016,budget_only,120016,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,plan_A,plan_B,True,True,True,False,plan_B,
