scope,metric,violation_prevalence,expected_gate_minus_broad
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.0,0.052083333333333336
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.01,0.051562500000000004
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.02,0.051041666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.03,0.050520833333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.04,0.05
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.05,0.049479166666666664
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.06,0.04895833333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.07,0.0484375
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.08,0.04791666666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.09,0.04739583333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.1,0.046875
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.11,0.04635416666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.12,0.04583333333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.13,0.0453125
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.14,0.04479166666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.15,0.044270833333333336
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.16,0.04375
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.17,0.043229166666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.18,0.04270833333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.19,0.0421875
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.2,0.04166666666666667
