scenario,institution,ablation,seed,cluster_spread,bills_processed,bills_passed,passage_rate,avg_representation_distance,representation_inequality,perfect_representation_rate
fragmented,parliamentary,baseline,0,0.15,30,0,0.0,1.188626528816218,0.445810582060432,0.0
fragmented,parliamentary,baseline,1,0.15,30,0,0.0,1.1517805239356416,0.4918924906360509,0.09523809523809523
fragmented,parliamentary,baseline,2,0.15,30,0,0.0,1.1205261587844935,0.44353508884316717,0.0
fragmented,parliamentary,baseline,3,0.15,30,0,0.0,1.134484205023067,0.4543184498720117,0.0
fragmented,parliamentary,baseline,4,0.15,30,0,0.0,1.0985127615634338,0.5098981041259865,0.047619047619047616
fragmented,parliamentary,baseline,5,0.15,30,0,0.0,1.1420634935191905,0.4269189067153513,0.0
fragmented,parliamentary,baseline,6,0.15,30,0,0.0,1.1274487039675525,0.4662830122358439,0.047619047619047616
fragmented,parliamentary,baseline,7,0.15,30,0,0.0,1.1361856804144332,0.4895930019340532,0.047619047619047616
fragmented,parliamentary,baseline,8,0.15,30,0,0.0,1.16001239287396,0.44949718656043103,0.047619047619047616
fragmented,parliamentary,baseline,9,0.15,30,0,0.0,1.1196825050552934,0.42416116142605464,0.047619047619047616
fragmented,parliamentary,baseline,10,0.15,30,0,0.0,1.0919685948733708,0.4830019800385369,0.047619047619047616
fragmented,parliamentary,baseline,11,0.15,30,0,0.0,1.1143390229924468,0.48814189388459106,0.09523809523809523
fragmented,parliamentary,baseline,12,0.15,30,0,0.0,1.130246685482935,0.4441511569772045,0.047619047619047616
fragmented,parliamentary,baseline,13,0.15,30,0,0.0,1.1583049268718806,0.4714406203438026,0.09523809523809523
fragmented,parliamentary,baseline,14,0.15,30,0,0.0,1.141058568352717,0.43756465314022047,0.047619047619047616
fragmented,parliamentary,baseline,15,0.15,30,0,0.0,1.1334797858805792,0.4534431488784677,0.047619047619047616
fragmented,parliamentary,baseline,16,0.15,30,0,0.0,1.1378923118653255,0.4589055214600874,0.0
fragmented,parliamentary,baseline,17,0.15,30,0,0.0,1.130196151638621,0.4054582289076424,0.0
fragmented,parliamentary,baseline,18,0.15,30,0,0.0,1.1503211729842087,0.4254609674663557,0.047619047619047616
fragmented,parliamentary,baseline,19,0.15,30,0,0.0,1.104983925958428,0.4010111754108908,0.0
fragmented,parliamentary,baseline,20,0.15,30,0,0.0,1.0951088885669922,0.4054928736339831,0.047619047619047616
fragmented,parliamentary,baseline,21,0.15,30,0,0.0,1.1030328325670566,0.4794889223743657,0.09523809523809523
fragmented,parliamentary,baseline,22,0.15,30,0,0.0,1.12662931297393,0.49735264196444573,0.09523809523809523
fragmented,parliamentary,baseline,23,0.15,30,0,0.0,1.1157075259636722,0.45758331156224874,0.047619047619047616
fragmented,parliamentary,baseline,24,0.15,30,0,0.0,1.1295258743515302,0.45063833576931184,0.0
fragmented,parliamentary,baseline,25,0.15,30,0,0.0,1.0875311403357804,0.45554321840746553,0.0
fragmented,parliamentary,baseline,26,0.15,30,0,0.0,1.1740112433595742,0.4794557815852278,0.09523809523809523
fragmented,parliamentary,baseline,27,0.15,30,0,0.0,1.133563172582987,0.5106009791040044,0.09523809523809523
fragmented,parliamentary,baseline,28,0.15,30,0,0.0,1.1099095413882543,0.43503923205251493,0.047619047619047616
fragmented,parliamentary,baseline,29,0.15,30,0,0.0,1.1389334424382647,0.48776704082842554,0.047619047619047616
fragmented,parliamentary,baseline,30,0.15,30,0,0.0,1.1388706229920285,0.4543645775589019,0.0
fragmented,parliamentary,baseline,31,0.15,30,0,0.0,1.1357835799343174,0.3916923208042863,0.0
fragmented,parliamentary,baseline,32,0.15,30,0,0.0,1.0801200704663412,0.4943068928070553,0.09523809523809523
fragmented,parliamentary,baseline,33,0.15,30,0,0.0,1.132677069014924,0.46881861760548016,0.0
fragmented,parliamentary,baseline,34,0.15,30,0,0.0,1.1245477002915547,0.43852921155849733,0.047619047619047616
fragmented,parliamentary,baseline,35,0.15,30,0,0.0,1.127018996385875,0.4034957948467247,0.0
fragmented,parliamentary,baseline,36,0.15,30,0,0.0,1.1280878794344193,0.45049131043774676,0.09523809523809523
fragmented,parliamentary,baseline,37,0.15,30,0,0.0,1.1235853848143211,0.4523067904897765,0.047619047619047616
fragmented,parliamentary,baseline,38,0.15,30,0,0.0,1.1141187271350652,0.46139728724633033,0.047619047619047616
fragmented,parliamentary,baseline,39,0.15,30,0,0.0,1.086579352967319,0.423297961442392,0.047619047619047616
fragmented,parliamentary,baseline,40,0.15,30,0,0.0,1.124575914635509,0.43071951101496614,0.0
fragmented,parliamentary,baseline,41,0.15,30,0,0.0,1.1357560813567598,0.46505951015203034,0.0
fragmented,parliamentary,baseline,42,0.15,30,0,0.0,1.1375641752771202,0.46608931616241706,0.0
fragmented,parliamentary,baseline,43,0.15,30,0,0.0,1.151885080312309,0.4657866678993521,0.047619047619047616
fragmented,parliamentary,baseline,44,0.15,30,0,0.0,1.1283053361923676,0.45630870721518896,0.047619047619047616
fragmented,parliamentary,baseline,45,0.15,30,0,0.0,1.1348960842208788,0.4777346252168094,0.047619047619047616
fragmented,parliamentary,baseline,46,0.15,30,0,0.0,1.13495983133684,0.5384820298642785,0.09523809523809523
fragmented,parliamentary,baseline,47,0.15,30,0,0.0,1.1096054757966485,0.5139339493522936,0.047619047619047616
fragmented,parliamentary,baseline,48,0.15,30,0,0.0,1.1541102645335726,0.4347812497585988,0.047619047619047616
fragmented,parliamentary,baseline,49,0.15,30,0,0.0,1.1980021011255906,0.4230890495938569,0.0
fragmented,parliamentary,baseline,50,0.15,30,0,0.0,1.1225652558512127,0.4606157271737067,0.047619047619047616
fragmented,parliamentary,baseline,51,0.15,30,0,0.0,1.1314770624478807,0.41632294716980955,0.047619047619047616
fragmented,parliamentary,baseline,52,0.15,30,0,0.0,1.1306082351229532,0.49456548824806923,0.047619047619047616
fragmented,parliamentary,baseline,53,0.15,30,0,0.0,1.1658324455441686,0.46239052352516974,0.0
fragmented,parliamentary,baseline,54,0.15,30,0,0.0,1.0830927200407774,0.478524344226278,0.09523809523809523
fragmented,parliamentary,baseline,55,0.15,30,0,0.0,1.1237829852642645,0.4579981081983824,0.0
fragmented,parliamentary,baseline,56,0.15,30,0,0.0,1.165050953029348,0.4726580449640769,0.0
fragmented,parliamentary,baseline,57,0.15,30,0,0.0,1.1816654109490823,0.4914432467142002,0.09523809523809523
fragmented,parliamentary,baseline,58,0.15,30,0,0.0,1.1071334527034615,0.4881769684951846,0.047619047619047616
fragmented,parliamentary,baseline,59,0.15,30,0,0.0,1.2017673331222478,0.3914855675229393,0.0
fragmented,parliamentary,baseline,60,0.15,30,0,0.0,1.1644315833908143,0.41933422505758117,0.0
fragmented,parliamentary,baseline,61,0.15,30,0,0.0,1.1434013232369171,0.4773162201254576,0.0
fragmented,parliamentary,baseline,62,0.15,30,0,0.0,1.1160209008973374,0.4976335136291733,0.09523809523809523
