institution,scenario,seed,bills_processed,passage_rate,hung_parliament_behavior
parliamentary,baseline,0,25,0.92,cohesive_obstruction
parliamentary,baseline,1,25,0.8,cohesive_obstruction
parliamentary,baseline,2,25,0.68,cohesive_obstruction
parliamentary,baseline,3,25,0.6,cohesive_obstruction
parliamentary,baseline,4,25,0.6,cohesive_obstruction
parliamentary,baseline,5,25,0.72,cohesive_obstruction
parliamentary,baseline,6,25,0.68,cohesive_obstruction
parliamentary,baseline,7,25,0.84,cohesive_obstruction
parliamentary,baseline,8,25,0.64,cohesive_obstruction
parliamentary,baseline,9,25,0.8,cohesive_obstruction
parliamentary,baseline,10,25,0.84,cohesive_obstruction
parliamentary,baseline,11,25,0.72,cohesive_obstruction
parliamentary,baseline,12,25,0.76,cohesive_obstruction
parliamentary,baseline,13,25,0.6,cohesive_obstruction
parliamentary,baseline,14,25,0.72,cohesive_obstruction
parliamentary,baseline,15,25,0.84,cohesive_obstruction
parliamentary,baseline,16,25,0.84,cohesive_obstruction
parliamentary,baseline,17,25,0.76,cohesive_obstruction
parliamentary,baseline,18,25,0.72,cohesive_obstruction
parliamentary,baseline,19,25,0.72,cohesive_obstruction
parliamentary,baseline,20,25,0.68,cohesive_obstruction
parliamentary,baseline,21,25,0.48,cohesive_obstruction
parliamentary,baseline,22,25,0.92,cohesive_obstruction
parliamentary,baseline,23,25,0.68,cohesive_obstruction
parliamentary,baseline,24,25,0.76,cohesive_obstruction
parliamentary,baseline,25,25,0.6,cohesive_obstruction
parliamentary,baseline,26,25,0.88,cohesive_obstruction
parliamentary,baseline,27,25,0.64,cohesive_obstruction
parliamentary,baseline,28,25,0.76,cohesive_obstruction
parliamentary,baseline,29,25,0.84,cohesive_obstruction
parliamentary,baseline,30,25,0.76,cohesive_obstruction
parliamentary,baseline,31,25,0.8,cohesive_obstruction
parliamentary,baseline,32,25,0.72,cohesive_obstruction
parliamentary,baseline,33,25,0.92,cohesive_obstruction
parliamentary,baseline,34,25,0.88,cohesive_obstruction
parliamentary,baseline,35,25,0.76,cohesive_obstruction
parliamentary,baseline,36,25,0.84,cohesive_obstruction
parliamentary,baseline,37,25,0.76,cohesive_obstruction
parliamentary,baseline,38,25,0.76,cohesive_obstruction
parliamentary,baseline,39,25,0.8,cohesive_obstruction
parliamentary,baseline,40,25,0.8,cohesive_obstruction
parliamentary,baseline,41,25,0.68,cohesive_obstruction
parliamentary,baseline,42,25,0.68,cohesive_obstruction
parliamentary,baseline,43,25,0.84,cohesive_obstruction
parliamentary,baseline,44,25,0.84,cohesive_obstruction
parliamentary,baseline,45,25,0.6,cohesive_obstruction
parliamentary,baseline,46,25,0.72,cohesive_obstruction
parliamentary,baseline,47,25,0.8,cohesive_obstruction
parliamentary,baseline,48,25,0.88,cohesive_obstruction
parliamentary,baseline,49,25,0.64,cohesive_obstruction
parliamentary,baseline,50,25,0.84,cohesive_obstruction
parliamentary,baseline,51,25,0.76,cohesive_obstruction
parliamentary,baseline,52,25,0.68,cohesive_obstruction
parliamentary,baseline,53,25,0.56,cohesive_obstruction
parliamentary,baseline,54,25,0.84,cohesive_obstruction
parliamentary,baseline,55,25,0.8,cohesive_obstruction
parliamentary,baseline,56,25,0.68,cohesive_obstruction
parliamentary,baseline,57,25,0.72,cohesive_obstruction
parliamentary,baseline,58,25,0.88,cohesive_obstruction
parliamentary,baseline,59,25,0.8,cohesive_obstruction
parliamentary,baseline,60,25,0.72,cohesive_obstruction
parliamentary,baseline,61,25,0.76,cohesive_obstruction
parliamentary,baseline,62,25,0.72,cohesive_obstruction
parliamentary,baseline,63,25,0.68,cohesive_obstruction
parliamentary,baseline,64,25,0.56,cohesive_obstruction
parliamentary,baseline,65,25,0.72,cohesive_obstruction
parliamentary,baseline,66,25,0.72,cohesive_obstruction
parliamentary,baseline,67,25,0.8,cohesive_obstruction
parliamentary,baseline,68,25,0.72,cohesive_obstruction
parliamentary,baseline,69,25,0.8,cohesive_obstruction
parliamentary,baseline,70,25,0.88,cohesive_obstruction
parliamentary,baseline,71,25,0.6,cohesive_obstruction
parliamentary,baseline,72,25,0.72,cohesive_obstruction
parliamentary,baseline,73,25,0.88,cohesive_obstruction
parliamentary,baseline,74,25,0.76,cohesive_obstruction
parliamentary,baseline,75,25,0.72,cohesive_obstruction
parliamentary,baseline,76,25,0.68,cohesive_obstruction
parliamentary,baseline,77,25,0.6,cohesive_obstruction
parliamentary,baseline,78,25,0.88,cohesive_obstruction
parliamentary,baseline,79,25,0.76,cohesive_obstruction
parliamentary,baseline,80,25,0.68,cohesive_obstruction
parliamentary,baseline,81,25,0.84,cohesive_obstruction
parliamentary,baseline,82,25,0.76,cohesive_obstruction
parliamentary,baseline,83,25,0.76,cohesive_obstruction
